,mindex,n,predictors,rsquare,adjr,adjrRound,predrsq,cp,cpd,aic,sbic,sbc,msep,fpe,apc,hsp
11,16369,13,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.898693271,0.880896142,0.88,0.773989199,13.38324757,0,-616.2091314,-860.4445158,-579.0490792,5.37E-05,5.22E-05,0.139639005,6.17E-07
9,15914,11,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS,0.894790694,0.879563032,0.88,0.829212683,12.21014491,1,-616.8828269,-862.9510283,-584.6774483,5.28E-05,5.18E-05,0.138433297,6.07E-07
4,16278,12,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS xYield_UMCSENT,0.89693874,0.880448939,0.88,0.815688884,12.65417149,1,-616.6981073,-861.8472197,-582.0153919,5.31E-05,5.19E-05,0.138789163,6.11E-07
1,16279,12,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS,0.896070679,0.879441988,0.88,0.821901508,13.28296609,1,-615.960008,-861.3582586,-581.2772926,5.36E-05,5.23E-05,0.139958152,6.16E-07
2,16370,13,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS xYield_UMCSENT,0.897633316,0.87964998,0.88,0.809832489,14.15104338,1,-615.2931865,-859.8666603,-578.1331343,5.42E-05,5.28E-05,0.141100023,6.23E-07
6,16383,14,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.89922235,0.879895129,0.88,0.770785626,15,1,-614.6699199,-858.3231618,-575.0325309,5.49E-05,5.32E-05,0.142193123,6.31E-07
12,16280,12,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_TB3MS xYield_USSLIND,0.895666298,0.878972905,0.88,0.811552282,13.57588672,2,-615.6182707,-861.1312959,-580.9355553,5.38E-05,5.25E-05,0.140502719,6.19E-07
7,16371,13,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_TB3MS xYield_USSLIND,0.896893083,0.878779706,0.88,0.804444871,14.68724404,2,-614.659131,-859.4649486,-577.4990788,5.46E-05,5.31E-05,0.142120345,6.28E-07
13,16281,12,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_TB3MS xYield_UMCSENT xYield_USSLIND,0.893609223,0.876586698,0.88,0.760506013,15.06596379,3,-613.9001187,-859.9847077,-579.2174033,5.49E-05,5.36E-05,0.143272913,6.31E-07
14,15915,11,Q1 Q3 Q4 xYield_CASTHPI xYield_CPALTT01USQ657N xYield_GS10 xYield_MSPNHSUS xYield_MVLOAS xYield_NYXRSA xYield_TB3MS xYield_UMCSENT,0.890835043,0.875034851,0.88,0.812813369,15.0754883,4,-613.6348917,-860.6848928,-581.4295131,5.48E-05,5.37E-05,0.143638102,6.30E-07
