"","factor_list","n","cv","co-efficients","p-values","RMSE","RSS","adjR","model_p_sign"
"1","Q3 Q4 xYield_NYXRSA xYield_TB3MS","5","cv 1","0.0119463399397025, -0.0200639035125951, -0.0164415103432295, 0.565297028583829, 0.0133288004114476","2.73089350931093e-08, 1.17579981713666e-07, 5.10212145093836e-06, 1.95592384767623e-10, 0.0318271702412656","0.00955089451095611","0.0065323020379933","0.6778566383498","1.50764835453055e-13"
"2","Q3 Q4 xYield_NYXRSA xYield_TB3MS","5","cv 2","0.0130511878302102, -0.0207030878419493, -0.0163051350345112, 0.550479024363078, 0.00390494294964322","1.69367953136839e-08, 2.60377999774e-06, 7.46961796682208e-06, 1.11839236211432e-08, 0.442414133272593","0.0103313253617532","0.00729957710783964","0.616205796928993","1.57188618537783e-11"
"3","Q3 Q4 xYield_NYXRSA xYield_TB3MS","5","cv 3","0.0119106290833214, -0.0224192227246679, -0.0171945858505914, 0.630012420602179, 0.0119295712671955","5.03442343988804e-08, 1.09571769805358e-07, 1.27670731695595e-06, 2.8010910058247e-12, 3.00781895068354e-06","0.00975054803682272","0.0068668683150207","0.719468184062267","3.79084296400193e-15"
"4","Q3 Q4 xYield_NYXRSA xYield_TB3MS","5","cv 4","0.0119227181480977, -0.0132399541137766, -0.0135342349260392, 0.550364640581553, 0.0101297568417833","9.96625378813657e-12, 1.03010744047919e-06, 8.43071498459342e-07, 5.58332268300906e-14, 1.3883169433738e-07","0.00697528567250634","0.00361060925298974","0.747947813583305","2.17798852744381e-16"
"5","Q3 Q4 xYield_NYXRSA xYield_TB3MS","5","cv 5","0.013666328223886, -0.0203837152319285, -0.0154402392399347, 0.554675444278256, 0.00615365829394254","4.98448209426244e-10, 4.5669373725449e-08, 3.66202165192343e-06, 2.22831330530465e-10, 0.250155674232742","0.00914184972921341","0.00611435057226961","0.661650901017597","5.55706857162774e-13"
"6","Q3 Q4 xYield_NYXRSA xYield_TB3MS","5","cv 6","0.0120807316045771, -0.0164258089923405, -0.0152838475189411, 0.60728728922434, 0.00448619100305914","1.31678991224624e-07, 4.48009826888296e-05, 4.35462057866717e-05, 2.28347093105038e-09, 0.397824750383873","0.0104382270856809","0.00750378465769548","0.567118719972772","3.78001089815701e-10"
"7","Q3 Q4 xYield_NYXRSA xYield_TB3MS","5","cv 7","0.0117161550476249, -0.0172813002223107, -0.0182165992558878, 0.599437988216657, 0.00688135785520715","3.70621016024581e-07, 5.44399244878518e-06, 2.70601745870439e-06, 9.85350575778212e-10, 0.0400911534560291","0.0100655128784213","0.00747433403828934","0.665311915987497","4.16219340425919e-13"
"8","Q3 Q4 xYield_NYXRSA xYield_TB3MS","5","cv 8","0.0119532969757018, -0.0188521791198409, -0.0177374343939693, 0.550385899904039, 0.00847045791816538","1.77481405380679e-07, 7.36341232022912e-07, 7.99127706215245e-07, 5.64233879030678e-10, 0.000134528404909835","0.00980235950905098","0.00746716175432596","0.654673996309101","9.55555426826927e-13"
"9","Q3 Q4 xYield_NYXRSA xYield_TB3MS","5","cv 9","0.00998254129779948, -0.016367384100671, -0.018068510137241, 0.663233165645602, 0.00856557766656113","9.48956353391546e-06, 1.33959938554237e-05, 3.25217168308651e-06, 5.5955893643679e-12, 0.0123375630666405","0.0102607886407526","0.00792309432159114","0.696039696753243","3.21283944917361e-14"
"10","Q3 Q4 xYield_NYXRSA xYield_TB3MS","5","cv 10","0.0145153059324864, -0.021777227937399, -0.0219352718587887, 0.678152856874992, 0.00819497119088569","3.15375778652785e-09, 3.89905831653927e-08, 3.99545368741232e-07, 7.64229406300678e-10, 0.000564590044073412","0.010440846701461","0.00841256887662695","0.655246632093108","9.14363110900369e-13"
